,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-11-23 14:45:00,-8.0,0.0,0.0,0.0,46944.80808536638,57503.159999999996,52.54000000000815,104447.96808536637,0.0
2019-11-23 14:46:00,-8.0,0.0,0.0,0.0,47183.00808536637,57384.06,119.09999999999854,104567.06808536637,0.0
2019-11-23 14:47:00,-8.0,0.0,0.0,0.0,47308.20808536637,57321.46,62.599999999998545,104629.66808536637,0.0
2019-11-23 14:48:00,-8.0,0.0,0.0,0.0,47243.568085366365,57353.78,-32.31999999999971,104597.34808536636,0.0
2019-11-23 14:49:00,-8.0,0.0,0.0,0.0,47315.20808536637,57317.96,35.81999999999971,104633.16808536637,0.0
2019-11-23 14:50:00,-8.0,0.0,0.0,0.0,47486.408085366376,57232.36,85.59999999999854,104718.76808536638,0.0
2019-11-23 14:51:00,-8.0,0.0,0.0,0.0,47436.968085366374,57257.08,-24.720000000001164,104694.04808536638,0.0
2019-11-23 14:52:00,-8.0,0.0,0.0,0.0,47380.04808536639,57285.53999999999,-28.45999999999185,104665.58808536638,0.0
2019-11-23 14:53:00,-8.0,0.0,0.0,0.0,47379.84808536638,57285.64,-0.10000000000582077,104665.48808536638,0.0
2019-11-23 14:54:00,-8.0,0.0,0.0,0.0,47430.12808536638,57260.5,25.139999999999418,104690.62808536638,0.0
2019-11-23 14:55:00,-8.0,0.0,0.0,0.0,47469.96808536638,57240.579999999994,19.92000000000553,104710.54808536638,0.0
2019-11-23 14:56:00,-8.0,0.0,0.0,0.0,47544.72808536636,57203.200000000004,37.379999999990105,104747.92808536637,0.0
2019-11-23 14:57:00,-8.0,0.0,0.0,0.0,47533.328085366375,57208.899999999994,-5.699999999989814,104742.22808536637,0.0
2019-11-23 14:58:00,-8.0,0.0,0.0,0.0,47451.08808536638,57250.02,-41.12000000000262,104701.10808536637,0.0
2019-11-23 14:59:00,-8.0,0.0,0.0,0.0,47461.68808536636,57244.72,5.299999999995634,104706.40808536636,0.0
2019-11-23 15:00:00,-8.0,0.0,0.0,0.0,47473.68808536636,57238.72,6.0,104712.40808536636,0.0
2019-11-23 15:01:00,-8.0,0.0,0.0,0.0,47352.32808536637,57299.4,-60.68000000000029,104651.72808536637,0.0
2019-11-23 15:02:00,-8.0,0.0,0.0,0.0,47307.44808536637,57321.84,-22.439999999995052,104629.28808536637,0.0
2019-11-23 15:03:00,-8.0,0.0,0.0,0.0,47257.88808536637,57346.619999999995,-24.779999999998836,104604.50808536637,0.0
2019-11-23 15:04:00,-8.0,0.0,0.0,0.0,47288.20808536637,57331.46,15.159999999996217,104619.66808536637,0.0
2019-11-23 15:05:00,-8.0,0.0,0.0,0.0,47323.408085366354,57313.86000000001,17.59999999999127,104637.26808536636,0.0
2019-11-23 15:06:00,-8.0,0.0,0.0,0.0,47436.888085366365,57257.12,56.74000000000524,104694.00808536637,0.0
2019-11-23 15:07:00,-8.0,0.0,0.0,0.0,47442.20808536637,57254.46,2.6600000000034925,104696.66808536637,0.0
2019-11-23 15:08:00,-8.0,0.0,0.0,0.0,47351.68808536638,57299.719999999994,-45.25999999999476,104651.40808536638,0.0
2019-11-23 15:09:00,-8.0,0.0,0.0,0.0,47357.28808536638,57296.92,2.7999999999956344,104654.20808536638,0.0
2019-11-23 15:10:00,-8.0,0.0,0.0,0.0,47403.728085366376,57273.700000000004,23.219999999993888,104677.42808536638,0.0
2019-11-23 15:11:00,-8.0,0.0,0.0,0.0,47426.16808536638,57262.48,11.220000000001164,104688.64808536638,0.0
2019-11-23 15:12:00,-8.0,0.0,0.0,0.0,47415.28808536638,57267.92,-5.439999999995052,104683.20808536638,0.0
2019-11-23 15:13:00,-8.0,0.0,0.0,0.0,47446.24808536637,57252.44,15.479999999995925,104698.68808536638,0.0
2019-11-23 15:14:00,-8.0,0.0,0.0,0.0,47513.408085366376,57218.86,33.580000000001746,104732.26808536638,0.0
2019-11-23 15:15:00,-8.0,0.0,0.0,0.0,47500.52808536638,57225.299999999996,-6.439999999995052,104725.82808536637,0.0
2019-11-23 15:16:00,-8.0,0.0,0.0,0.0,47493.48808536635,57228.82000000001,-3.5200000000113505,104722.30808536636,0.0
2019-11-23 15:17:00,-8.0,0.0,0.0,0.0,47512.568085366365,57219.28,9.540000000008149,104731.84808536636,0.0
2019-11-23 15:18:00,-8.0,0.0,0.0,0.0,47506.12808536637,57222.49999999999,-3.219999999993888,104728.62808536636,0.0
2019-11-23 15:19:00,-8.0,0.0,0.0,0.0,47448.76808536638,57251.17999999999,-28.68000000000029,104699.94808536637,0.0
2019-11-23 15:20:00,-8.0,0.0,0.0,0.0,47354.80808536636,57298.159999999996,-46.9800000000032,104652.96808536636,0.0
2019-11-23 15:21:00,-8.0,0.0,0.0,0.0,47302.768085366355,57324.18,-26.020000000004075,104626.94808536636,0.0
2019-11-23 15:22:00,-8.0,0.0,0.0,0.0,47286.328085366375,57332.399999999994,-8.219999999993888,104618.72808536637,0.0
2019-11-23 15:23:00,-8.0,0.0,0.0,0.0,47358.048085366354,57296.54,35.859999999993306,104654.58808536635,0.0
2019-11-23 15:24:00,-8.0,0.0,0.0,0.0,47372.16808536635,57289.48,7.059999999997672,104661.64808536635,0.0
2019-11-23 15:25:00,-8.0,0.0,0.0,0.0,47362.32808536635,57294.4,-4.919999999998254,104656.72808536635,0.0
2019-11-23 15:26:00,-8.0,0.0,0.0,0.0,47401.84808536635,57274.64,19.760000000002037,104676.48808536635,0.0
2019-11-23 15:27:00,-8.0,0.0,0.0,0.0,47404.52808536634,57273.3,1.3399999999965075,104677.82808536635,0.0
2019-11-23 15:28:00,-8.0,0.0,0.0,0.0,47438.488085366356,57256.32,16.9800000000032,104694.80808536636,0.0
2019-11-23 15:29:00,-8.0,0.0,0.0,0.0,47505.36808536636,57222.88,33.44000000000233,104728.24808536636,0.0
2019-11-23 15:30:00,-8.0,0.0,0.0,0.0,47511.968085366345,57219.58,3.2999999999956344,104731.54808536635,0.0
2019-11-23 15:31:00,-8.0,0.0,0.0,0.0,47430.40808536635,57260.36,-40.779999999998836,104690.76808536635,0.0
2019-11-23 15:32:00,-8.0,0.0,0.0,0.0,47419.28808536635,57265.92,-5.559999999997672,104685.20808536635,0.0
2019-11-23 15:33:00,-8.0,0.0,0.0,0.0,47440.88808536636,57255.119999999995,10.80000000000291,104696.00808536635,0.0
2019-11-23 15:34:00,-8.0,0.0,0.0,0.0,47404.96808536635,57273.079999999994,-17.959999999999127,104678.04808536635,0.0
2019-11-23 15:35:00,-8.0,0.0,0.0,0.0,47418.24808536633,57266.44,6.639999999992142,104684.68808536633,0.0
2019-11-23 15:36:00,-8.0,0.0,0.0,0.0,47373.568085366336,57288.78,-22.339999999996508,104662.34808536633,0.0
2019-11-23 15:37:00,-8.0,0.0,0.0,0.0,47302.36808536633,57324.38,-35.599999999998545,104626.74808536633,0.0
2019-11-23 15:38:00,-8.0,0.0,0.0,0.0,47257.40808536632,57346.86,-22.4800000000032,104604.26808536632,0.0
2019-11-23 15:39:00,-8.0,0.0,0.0,0.0,47210.248085366315,57370.44,-23.580000000001746,104580.68808536632,0.0
2019-11-23 15:40:00,-8.0,0.0,0.0,0.0,47197.40808536632,57376.86,-6.419999999998254,104574.26808536632,0.0
2019-11-23 15:41:00,-8.0,0.0,0.0,0.0,47281.68808536632,57334.72,42.13999999999942,104616.40808536632,0.0
2019-11-23 15:42:00,-8.0,0.0,0.0,0.0,47341.56808536632,57304.78,29.94000000000233,104646.34808536632,0.0
2019-11-23 15:43:00,-8.0,0.0,0.0,0.0,47309.52808536632,57320.799999999996,-16.0199999999968,104630.32808536632,0.0
2019-11-23 15:44:00,-8.0,0.0,0.0,0.0,47285.40808536632,57332.86,-12.060000000004948,104618.26808536632,0.0
2019-11-23 15:45:00,-8.0,0.0,0.0,0.0,47242.12808536632,57354.5,-21.639999999999418,104596.62808536632,0.0
2019-11-23 15:46:00,-8.0,0.0,0.0,0.0,47215.488085366334,57367.81999999999,-13.319999999992433,104583.30808536633,0.0
2019-11-23 15:47:00,-8.0,0.0,0.0,0.0,47145.60808536632,57402.76,-34.940000000009604,104548.36808536632,0.0
2019-11-23 15:48:00,-8.0,0.0,0.0,0.0,47215.768085366326,57367.68,35.080000000001746,104583.44808536633,0.0
2019-11-23 15:49:00,-8.0,0.0,0.0,0.0,47344.968085366316,57303.08,64.59999999999854,104648.04808536632,0.0
2019-11-23 15:50:00,-8.0,0.0,0.0,0.0,47386.68808536632,57282.22,20.860000000000582,104668.90808536632,0.0
2019-11-23 15:51:00,-8.0,0.0,0.0,0.0,47426.08808536631,57262.520000000004,19.69999999999709,104688.60808536632,0.0
2019-11-23 15:52:00,-8.0,0.0,0.0,0.0,47388.208085366314,57281.46,-18.939999999995052,104669.66808536631,0.0
2019-11-23 15:53:00,-8.0,0.0,0.0,0.0,47401.368085366295,57274.880000000005,6.57999999999447,104676.2480853663,0.0
2019-11-23 15:54:00,-8.0,0.0,0.0,0.0,47361.72808536629,57294.700000000004,-19.81999999999971,104656.4280853663,0.0
2019-11-23 15:55:00,-8.0,0.0,0.0,0.0,47295.8080853663,57327.66,-32.95999999999913,104623.4680853663,0.0
2019-11-23 15:56:00,-8.0,0.0,0.0,0.0,47281.2480853663,57334.94,-7.279999999998836,104616.1880853663,0.0
2019-11-23 15:57:00,-8.0,0.0,0.0,0.0,47265.28808536631,57342.92,-7.9799999999959255,104608.2080853663,0.0
2019-11-23 15:58:00,-8.0,0.0,0.0,0.0,47180.32808536632,57385.399999999994,-42.479999999995925,104565.72808536631,0.0
2019-11-23 15:59:00,-8.0,0.0,0.0,0.0,47183.6880853663,57383.72,1.679999999993015,104567.4080853663,0.0
2019-11-23 16:00:00,-8.0,0.0,0.0,0.0,47272.1280853663,57339.50000000001,44.21999999999389,104611.6280853663,0.0
2019-11-23 16:01:00,-8.0,0.0,0.0,0.0,47226.648085366316,57362.24,-22.739999999990687,104588.88808536631,0.0
2019-11-23 16:02:00,-8.0,0.0,0.0,0.0,47149.168085366306,57400.98,-38.74000000000524,104550.14808536631,0.0
2019-11-23 16:03:00,-8.0,0.0,0.0,0.0,47107.28808536632,57421.92,-20.939999999995052,104529.20808536632,0.0
2019-11-23 16:04:00,-8.0,0.0,0.0,0.0,47070.20808536631,57440.46000000001,-18.54000000000815,104510.66808536631,0.0
2019-11-23 16:05:00,-8.0,0.0,0.0,0.0,47084.968085366316,57433.08,7.380000000004657,104518.04808536632,0.0
2019-11-23 16:06:00,-8.0,0.0,0.0,0.0,47025.36808536633,57462.88,-29.799999999995634,104488.24808536633,0.0
2019-11-23 16:07:00,-8.0,0.0,0.0,0.0,46954.48808536633,57498.32,-35.44000000000233,104452.80808536633,0.0
2019-11-23 16:08:00,-8.0,0.0,0.0,0.0,46933.44808536634,57508.84,-10.519999999996799,104442.28808536634,0.0
2019-11-23 16:09:00,-8.0,0.0,0.0,0.0,46914.92808536633,57518.1,-9.260000000002037,104433.02808536633,0.0
